 000 | مَهارْ ذِهْنْ صَفْحِ هَفْتادْ وَ پَنْجْ  | mahˈɑr zˈehn sˈafheː hˈaftɑd vˈa pˈandʒ
 001 | صُبْحْ یِکْ روزْ شَنْبِ اَسْتْ وَ دَرْ کافِ‌ای نِشَسْتِ‌اَنْدْ  | sˈobh jˈek rˈuːz ʃˈanbeː ˈast vˈa dˈar kˈɑfeːiː neʃˈasteːˈand
 002 | کِ مَعْمولَاْ بِ آنْجا می‌رَوَنْدْ.  | kˈeː maʔmˈulan beː ˈɑndʒˈɑ mirˈavand
 003 | خاگینِ سِفارِشْ می‌دَهَنْدْ،  | xˈɑɡinˌeː sefˈɑreʃ midˈahand
 004 | راجِعْ بِ هَفْتِ‌یِ گُذَشْتِ حَرْفْ می‌زَنَنْدْ وَ روزْنامِ می‌خوانَنْدْ.  | rˈɑdʒeʔ beː hˈafteːjˈeː ɡozˈaʃteː hˈarf mizˈanand vˈa ruːznˈɑmeː mixˈɑnand
 005 | اِمْروزْ کُرْسِتَنْ  | emrˈuz korsˈetan
 006 | دارْدَمْخَمَصِ‌ای را کِ دوسْتَشْ، شونا، دَرْ آنْ گِرِفْتارْ شُدِ  | dˈɑrdamxˌamasˌeːiː rɑ kˈeː dˈustaʃ ʃuːnˈɑ dˈar ɑn ɡerˈeftɑr ʃˈodeː
 007 | بَرایِ رَبیعْ تَعْریفْ می‌کُنَدْ.  | barˈɑje rˈabiʔ tˈaʔrif mikˈonad
 008 | دوسْت‌پِسَرْ شونا، عَعْلَسْ دِرْ،  | dˈuːstpˈesar ʃuːnˈɑ ʔˈaʔlas dˈer
 009 | ناگَهانْ بَرایِ کارْ بِ سَنْگاپورْ مُنْتَقِلْ شُدِ اَسْتْ.  | nɑɡˈahɑn barˈɑje kˈɑr beː sanɡˈɑpur montˈaq1el ʃˈodeː ˈast
 010 | شونا نِمی‌دانَدْ کِ بایَدْ دُنْبالَشْ بِرَوَدْ  | ʃuːnˈɑ nˌemidˈɑnad kˈeː bˈɑjad donbˈɑlaʃ berˈavad
 011 | آن‌ها دوْ سالْ اَسْتْ کِ با هَمْ هَسْتَنْدْ)  | ɑnhɑ dˈo sˈɑl ˈast kˈeː bɑ hˈam hˈastand
 012 | یا دَرْ مَرْکَزْ جَرّاحی دَنْدانْ دَرْ اینورْنَسْ  | jɑː dˈar mˈarkaz dʒarrˈɑhi dˈandɑn dˈar iːnˈuːrnas
 013 | کِ تازِگی تَرْفیعْ هَمْ دَرْ آنْ گِرِفْتِ بِمانَدْ.  | kˈeː tˈɑzeɡˌi tˈarfiʔ hˈam dˈar ɑn ɡerˈefteː bemˈɑnad
 014 | هَرْ جورْ حِسابْ کُنیمْ  | har dʒˈuːr hˈesɑb kˈonim
 015 | تَصْمیمْ واقِعَاْ مُهِمْ وَ سَخْتی اَسْتْ.  | tˈasmim vɑq1ˈeʔan mˈohem vˈa sˈaxti ˈast
 016 | اَمّا رِوایَتْ کُرْسِتَنْ  | ˈammˌɑ revˈɑjat korsˈetan
 017 | آن‌قَدْرْ کُنَدْ وَ گاهی غیرْخَطی پیشْ می‌رَوَدْ  | ɑnq1ˈadr kˈonad vˈa ɡˈɑhi q1irxˈati pˈiʃ mirˈavad
 018 | کِ رَبیعْ هَم‌زَمانْ  | kˈeː rˈabiʔ hˈamzamˈɑn
 019 | یِکْ چِشْمَشْ هَمْ بِ خَبَرْهایِ حَوادِثْ مُنْدَرَجْ دَرْ دیلی رِکوْرْدْ اَسْتْ.  | jˈek tʃˈeʃmaʃ hˈam beː xˈabarhˈɑje havˈɑdes mondˈaradʒ dˈar dˈili rˈekord ˈast
 020 | اَخیرَاْ  | axˈiran
 021 | اَزْ بَرْخی جَرایِمْ عَجیبْ وَ غَریبْ وَ هوْلْناکْ  | az bˈarxi dʒarˈɑjem ˈaːdʒib vˈa q1ˈarib vˈa hˈoːlnɑk
 022 | دَرْ مَکان‌هایی پَرْدِ بَرْداشْتِ شُدِ  | dˈar makˈɑnhˈɑiː pˈardeː bardˈɑʃteː ʃˈodeː
 023 | کِ اَسامی خِیْلی شاعِرانِ‌ای هَمْ دارَنْدْ  | kˈeː ˈaːsˈɑmi xˈejli ʃˈɑʔerˌɑneːiː hˈam dˈɑrand
 024 | مَرْدی کِ مُعَلِّمْ کُمَکی تاریخْ بودِ  | mˈardi kˈeː moʔˈallem komˈaki tˈɑrix bˈuːdeː
 025 | سَرْ هَمْسَرَشْ را با شَمْشیرْ عَتیقِ ای  | sˈar hamsˈaraʃ rɑ bɑ ʃˈamʃir aːtˈiq1eː ˈiː
 026 | دَرْ خانِ ای دَرْ حومَخْ آخَرَتَرَماخَتی اَزْ تَنِشْ جُدا کَرْدِ،  | dˈar xˈɑneː iː dˈar hˈuːmax ˈɑxarˌataramˈɑxatˌi az tˈaneʃ dʒˈodɑ kˈardeː
 027 | دَرْحالی‌کِ پُلیسْ شَهْرْ  | darhˈɑlikˈeː pˈolis ʃˈahr
 028 | دَرْ جَسْت‌وَجویِ مَرْدی پَنْجاه‌وَچَهارْسالِ اَسْتْ  | dˈar dʒˈastvadʒˈuːje mˈardi pandʒˈɑhvˌatʃahˈɑrsɑlˌeː ˈast
 029 | کِ اَزْ دُخْتَرْ شانْزْدَه‌سالِ‌اَشْ بَچِّ‌دارْ شُدِ اَسْتْ.  | kˈeː az dˈoxtar ʃˈɑnzdahsˈɑleːaʃ batʃtʃˈeːdˈɑr ʃˈodeː ˈast
 030 | آقایِ خانْ،  | ˈɑq1ˈɑje xˈɑn
