 000 |    1.05 |    1.80 | عاشقِ 
 001 |    2.01 |    3.54 | صفحه‌یِ بیست و نه 
 002 |    3.99 |    6.87 | کرستن پیشنهاد می‌کند با دوچرخه 
 003 |    7.14 |   13.14 | به ساحلِ پرتبلو در خلیجِ فورس بروند که تا آن‌جا نیم ساعتی راه است ربیع 
 004 |   13.41 |   16.80 | رویِ دوچرخه‌ای که به پیشنهادِ کرستن 
 005 |   17.04 |   21.81 | از مغازه‌ای در خیابانِ پرینسس اجاره کرده‌اند راحت نیست 
 006 |   22.17 |   25.29 | کرستنِ سوار بر دوچرخه‌یِ خودش است 
 007 |   25.50 |   28.35 | قرمزِ آلبالویی با دوازده دنده 
 008 |   28.56 |   30.69 | و دیسکِ ترمزِ پیشرفته‌
 009 |   31.08 |   34.83 | یِ ربیع تمامِ تلاشش را می‌کند تا عقب نیفتد 
 010 |   35.22 |   37.59 | تپه را که تا نیمه‌یِ پایین می‌روند 
 011 |   37.80 |   39.69 | دنده‌اش را عوض می‌کند 
 012 |   39.90 |   43.41 | ولی زنجیر گیر می‌کند و از جایش در می‌آید 
 013 |   43.62 |   46.23 | و آویزان دورِ توپی می‌چرخد 
 014 |   46.62 |   50.13 | احساسِ سرخوردگیِ همراه با خشمی آشنا 
 015 |   50.34 |   52.17 | درونِ فوران می‌کند 
 016 |   52.50 |   54.93 | اگر بخواهد برگردد به مغازه‌
 017 |   55.17 |   57.24 | یِ پایِ پیاده خیلی راه است 
 018 |   57.54 |   60.87 | اما کرستن که نظرِ دیگری دارد می‌گوید 
 019 |   61.20 |   61.98 | نگاش کن 
 020 |   62.19 |   63.93 | دست و پا چلفتی رو ببین 
 021 |   64.29 |   66.30 | و دوچرخه را وارونه می‌کند 
 022 |   66.54 |   73.80 | دنده‌ها را معکوس می‌کند و زنجیر عقب را که از ریلش خارج شده سرِ جایش تنظیم می‌کند 
 023 |   74.16 |   80.52 | دست‌هایشِ روغنی می‌شود و وقتی کارش تمام می‌شود رویِ گونه‌اش هم روغنی است 
 024 |   80.97 |   84.75 | عشق یعنی ستایشِ ویژگی‌هایی از معشوق 
 025 |   84.96 |   89.55 | که نویدِ جبرانِ ضعف‌ها و کمبودهایِ ما را می‌دهد 
 026 |   89.85 |   90.36 | عشقِ 
 027 |   90.57 |   93.09 | کاوشی است برایِ کامل شدنِ 
 028 |   93.60 |   94.17 | ربیع 
 029 |   94.38 |   96.57 | عاشقِ خونسردیِ او شده 
 030 |   96.84 |  100.29 | این‌که از نظرش همه‌چیز روبه‌راه می‌شود 
 031 |  100.59 |  104.28 | این‌که به ستوه نمی‌آید تسلیم نمی‌شود 
 032 |  104.64 |  108.15 | این‌ها محاسنِ دوستِ اسکاتلندیِ جدیدش است 
 033 |  108.36 |  110.28 | که عجیب و غریب هم هست 
 034 |  110.52 |  114.33 | و لهجه‌ای دارد که سخت می‌شود حرفش را فهمید 
 035 |  114.57 |  117.63 | و ربیع مجبور است سه بار از او بپرسد 
 036 |  117.87 |  121.44 | دقیقاً منظورش از واژه‌یِ موقتی چیست 
 037 |  121.71 |  128.10 | عشقِ ربیع واکنشی منطقی است به اکتشافِ نقاطِ قوت تکمیلِ کننده 
 038 |  128.34 |  132.51 | و ویژگی‌هایِ دیگری که او آرزوی‌شان را دارد 
 039 |  132.84 |  137.01 | عشقِ او از حسِ ناکامل بودنِ سر چشمه می‌گیرد 
 040 |  137.28 |  139.32 | و از میل به کامل شدن 
 041 |  139.92 |  141.45 | اما تنها او نیست 
 042 |  141.75 |  147.48 | کرستن هم گرچه به اشکالِ دیگر به دنبالِ جبرانِ نقصان‌هایش است 
 043 |  147.78 |  153.66 | او قبل از رفتن به دانشگاه هرگز پایش را از اسکاتلند بیرون نگذاشت بود 
 044 |  153.90 |  158.94 | خویشاوندانشِ همه‌یِ اهلِ یک منطقه‌یِ کوچکِ روستایی هستند 
 045 |  159.30 |  161.97 | آن‌جا مردمِ دل و دماغ ندارند 
 046 |  162.24 |  166.32 | رنگ‌ها همه خاکستری است حال و هوا دهاتی است 
 047 |  166.53 |  168.96 | ارزش‌ها اهمیتی ندارند 
 048 |  169.86 |  176.82 | کرستن در واکنش به این وضعیت شدیداً جذبِ ویژگی‌هایی می‌شود که به جنوب نسبت می‌دهد 
 049 |  177.18 |  184.80 | او نور می‌خواهد امیدِ مردمانی که با تمامِ وجودشان با شور و شوق زندگی می‌کنند 
 050 |  185.16 |  188.16 | او خورشید را می‌ستاید و در عینِ حال 
 051 |  188.37 |  190.32 | از رنگِ پریدگیِ خودش 
 052 |  190.53 |  194.70 | و رنجی که زیرِ اشعه‌یِ آفتاب می‌کشد متنفر است 
 053 |  195.00 |  198.81 | پوستری از محله‌یِ قدیمیِ شهرِ فاسِ مراکش 
 054 |  199.05 |  201.60 | بر دیوارِ خانه‌اش آویزان است 
 055 |  202.11 |  204.69 | آن‌چه از گذشته‌یِ ربیع دریافته 
 056 |  204.96 |  206.82 | او را به هیجان آورده 
 057 |  207.18 |  212.94 | و برایش خیلی جذاب است که او پسرِ یک مردِ لبنانیِ مهندس عمران 
 058 |  213.15 |  216.66 | و یک مادرِ آلمانیِ مهماندارِ هواپیماست ربیع 
 059 |  216.96 |  218.58 | برایِ کرستنِ 
 060 |  218.79 |  226.29 | داستان‌هایی را از دورانِ کودکی‌اش که در بیروت و آتن و بارسلوناِ گذشته تعریف می‌کند 
 061 |  226.68 |  229.83 | دورانی که هم لحظاتِ شاد و زیبا داشته 
 062 |  230.07 |  232.32 | و هم گاهی در خطر بوده_است 
 063 |  232.68 |  238.92 | ربیع به زبان‌هایِ عربیِ فرانسویِ آلمانی و اسپانیایی صحبت می‌کند 
 064 |  239.22 |  243.90 | حرف‌هایِ عاشقانه‌اش که بازیِ گوشانه بیان‌شان می‌کند 
 065 |  244.11 |  247.08 | رنگ و بویِ همه‌یِ این زبان‌ها را دارد 
 066 |  247.50 |  252.60 | رنگِ پوستِ ربیع زیتونی است و پوستِ کرستنِ سرخ و سفید 
 067 |  252.96 |  257.13 | وقتی می‌نشیند پاهایِ درازش را رویِ هم می‌اندازد 
 068 |  257.37 |  263.40 | و دستانش که به طرزِ عجیبی ظریفندِ خوب می‌دانند چه‌طور برایِ کرستنِ 
 069 |  263.64 |  269.07 | ترشیِ مکتوسِ سالاد تبوله و سالادِ کارتوفل درست کنند 
 070 |  269.40 |  273.75 | او از سراسرِ دنیایِ خود به کرستن 
 071 |  274.08 |  276.90 | می‌خوراند کرستن نیز در جست‌وجویِ عشق است 
 072 |  277.11 |  281.01 | تا خود را به تعادل برساند و تکمیل کند 
 073 |  281.73 |  283.59 | عشق به همان اندازه 
 074 |  283.86 |  286.20 | با ضعف نیز سروکار دارد 
 075 |  286.50 |  291.12 | با متأثر شدن از آسیبِ پذیری و اندوه‌یِ دیگری 
 076 |  291.42 |  297.12 | به خصوصِ زمانی که همان گونه که در روزهایِ اول چنین است خودِ ما 
